match_id,round,team_a_id,team_b_id,winner_id,loser_id,bracket,status,scheduled_date,scheduled_time,date_played,team_a_score,team_b_score
1,1,2,5,,,winners,scheduled,2026-06-24,12:00,,0,0
2,1,1,7,1.0,7.0,winners,done,2026-06-17,15:00,2026-06-17,24,6
3,1,6,4,4.0,6.0,winners,done,2026-06-17,16:00,2026-06-17,15,24
4,1,3,8,,,winners,scheduled,2026-06-24,15:00,,0,0
